time_ms,accepted,rej_limiter,rej_overload,inflight,limit,p50_ms,p99_ms
1000,12,0,0,2,12,102.0,114.0
2000,15,0,0,1,15,95.0,158.0
3000,12,0,0,1,17,110.0,118.0
4000,10,0,0,0,19,102.0,111.0
5000,9,0,0,0,21,108.0,116.0
6000,14,0,0,1,24,97.0,115.0
7000,8,0,0,1,25,100.0,114.0
8000,10,0,0,0,28,97.0,116.0
9000,10,0,0,2,29,103.0,113.0
10000,12,0,0,1,32,100.0,118.0
11000,12,0,0,1,34,111.0,140.0
12000,13,0,0,1,37,109.0,184.0
13000,13,0,0,2,39,102.0,118.0
14000,9,0,0,2,41,104.0,116.0
15000,15,0,0,1,44,100.0,179.0
16000,30,0,0,9,50,108.0,191.0
17000,25,0,0,3,55,117.0,234.0
18000,28,0,0,5,60,106.0,123.0
19000,26,0,0,4,65,114.0,171.0
20000,23,0,0,1,71,103.0,113.0
21000,26,0,0,3,75,97.0,139.0
22000,38,0,0,7,83,135.0,197.0
23000,34,0,0,3,90,124.0,214.0
24000,31,0,0,10,96,108.0,209.0
25000,40,0,0,5,104,195.0,299.0
26000,30,0,0,2,110,117.0,182.0
27000,27,0,0,4,115,96.0,131.0
28000,32,0,0,6,122,108.0,171.0
29000,23,0,0,1,127,131.0,249.0
30000,30,0,0,3,132,111.0,165.0
31000,39,0,0,15,140,185.0,298.0
32000,40,0,0,36,148,393.0,630.0
33000,40,20,0,21,1,798.0,943.0
34000,22,39,0,1,1,907.0,1025.0
35000,24,39,0,4,6,100.0,116.0
36000,34,2,0,5,12,119.0,201.0
37000,40,0,0,14,20,179.0,368.0
38000,41,0,0,22,29,349.0,396.0
39000,41,1,0,33,37,522.0,646.0
40000,38,39,0,17,1,802.0,953.0
41000,18,43,0,1,1,966.0,1014.0
42000,26,23,0,5,6,101.0,119.0
43000,39,7,0,12,14,150.0,259.0
44000,40,3,0,22,22,297.0,398.0
45000,41,3,0,25,30,495.0,597.0
46000,41,0,0,19,38,566.0,692.0
47000,41,0,0,15,46,538.0,700.0
48000,39,0,0,13,54,373.0,443.0
49000,33,0,0,2,61,191.0,409.0
50000,21,0,0,1,66,100.0,175.0
51000,27,0,0,4,70,94.0,147.0
52000,23,0,0,5,75,104.0,152.0
53000,29,0,0,1,81,105.0,168.0
54000,31,0,0,3,87,121.0,217.0
55000,23,0,0,2,92,107.0,194.0
56000,32,0,0,3,98,107.0,212.0
57000,23,0,0,2,103,101.0,158.0
58000,32,0,0,0,110,115.0,180.0
59000,23,0,0,5,114,105.0,119.0
60000,35,0,0,13,121,124.0,175.0
