time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA_noisy,9,19,0,115.0,134.0,12
1000,srv-a,tB_quiet,2,1,0,131.0,131.0,12
1000,srv-b,tA_noisy,9,33,0,122.0,132.0,12
1000,srv-b,tB_quiet,6,1,0,127.0,137.0,12
1000,srv-c,tA_noisy,9,31,0,117.0,136.0,12
1000,srv-c,tB_quiet,6,0,0,119.0,127.0,12
2000,srv-a,tA_noisy,6,29,0,125.0,138.0,12
2000,srv-a,tB_quiet,4,0,0,136.0,138.0,12
2000,srv-b,tA_noisy,6,27,0,130.0,134.0,13
2000,srv-b,tB_quiet,6,2,0,128.0,135.0,13
2000,srv-c,tA_noisy,7,24,0,128.0,139.0,14
2000,srv-c,tB_quiet,3,0,0,124.0,127.0,14
3000,srv-a,tA_noisy,7,34,0,109.0,120.0,17
3000,srv-a,tB_quiet,10,1,0,118.0,130.0,17
3000,srv-b,tA_noisy,7,21,0,137.0,139.0,15
3000,srv-b,tB_quiet,6,0,0,111.0,135.0,15
3000,srv-c,tA_noisy,6,26,0,114.0,128.0,17
3000,srv-c,tB_quiet,7,0,0,114.0,123.0,17
4000,srv-a,tA_noisy,7,31,0,112.0,138.0,17
4000,srv-a,tB_quiet,5,0,0,132.0,139.0,17
4000,srv-b,tA_noisy,6,23,0,118.0,128.0,17
4000,srv-b,tB_quiet,7,1,0,114.0,126.0,17
4000,srv-c,tA_noisy,8,23,0,113.0,120.0,17
4000,srv-c,tB_quiet,4,0,0,136.0,166.0,17
5000,srv-a,tA_noisy,7,31,0,112.0,139.0,19
5000,srv-a,tB_quiet,7,0,0,126.0,128.0,19
5000,srv-b,tA_noisy,7,28,0,125.0,134.0,17
5000,srv-b,tB_quiet,5,0,0,122.0,134.0,17
5000,srv-c,tA_noisy,6,31,0,121.0,130.0,19
5000,srv-c,tB_quiet,5,0,0,129.0,134.0,19
6000,srv-a,tA_noisy,7,12,0,125.0,139.0,20
6000,srv-a,tB_quiet,6,0,0,119.0,128.0,20
6000,srv-b,tA_noisy,6,24,0,120.0,135.0,19
6000,srv-b,tB_quiet,8,0,0,127.0,138.0,19
6000,srv-c,tA_noisy,7,24,0,128.0,138.0,20
6000,srv-c,tB_quiet,8,0,0,130.0,138.0,20
7000,srv-a,tA_noisy,7,30,0,116.0,135.0,20
7000,srv-a,tB_quiet,5,0,0,123.0,135.0,20
7000,srv-b,tA_noisy,7,29,0,122.0,139.0,20
7000,srv-b,tB_quiet,5,0,0,131.0,135.0,20
7000,srv-c,tA_noisy,7,30,0,110.0,136.0,20
7000,srv-c,tB_quiet,9,0,0,110.0,135.0,20
8000,srv-a,tA_noisy,6,23,0,113.0,137.0,22
8000,srv-a,tB_quiet,9,0,0,116.0,142.0,22
8000,srv-b,tA_noisy,6,34,0,133.0,136.0,20
8000,srv-b,tB_quiet,9,0,0,121.0,139.0,20
8000,srv-c,tA_noisy,7,26,0,127.0,135.0,21
8000,srv-c,tB_quiet,8,1,0,128.0,137.0,21
9000,srv-a,tA_noisy,7,29,0,121.0,139.0,24
9000,srv-a,tB_quiet,5,0,0,116.0,128.0,24
9000,srv-b,tA_noisy,6,22,0,129.0,134.0,21
9000,srv-b,tB_quiet,2,3,0,126.0,136.0,21
9000,srv-c,tA_noisy,6,26,0,117.0,136.0,23
9000,srv-c,tB_quiet,6,0,0,123.0,139.0,23
10000,srv-a,tA_noisy,8,19,0,108.0,139.0,24
10000,srv-a,tB_quiet,7,0,0,131.0,136.0,24
10000,srv-b,tA_noisy,7,31,0,125.0,134.0,21
10000,srv-b,tB_quiet,5,0,0,115.0,137.0,21
10000,srv-c,tA_noisy,7,22,0,123.0,133.0,23
10000,srv-c,tB_quiet,6,0,0,116.0,129.0,23
11000,srv-a,tA_noisy,5,18,0,135.0,138.0,24
11000,srv-a,tB_quiet,7,0,0,129.0,135.0,24
11000,srv-b,tA_noisy,6,29,0,117.0,133.0,22
11000,srv-b,tB_quiet,11,0,0,122.0,138.0,22
11000,srv-c,tA_noisy,7,29,0,114.0,136.0,24
11000,srv-c,tB_quiet,9,1,0,127.0,133.0,24
12000,srv-a,tA_noisy,8,26,0,129.0,158.0,24
12000,srv-a,tB_quiet,11,0,0,118.0,139.0,24
12000,srv-b,tA_noisy,7,18,0,122.0,134.0,24
12000,srv-b,tB_quiet,6,2,0,120.0,129.0,24
12000,srv-c,tA_noisy,7,29,0,116.0,131.0,25
12000,srv-c,tB_quiet,7,3,0,119.0,136.0,25
13000,srv-a,tA_noisy,7,38,0,121.0,138.0,25
13000,srv-a,tB_quiet,7,4,0,120.0,136.0,25
13000,srv-b,tA_noisy,6,32,0,118.0,138.0,24
13000,srv-b,tB_quiet,7,2,0,125.0,139.0,24
13000,srv-c,tA_noisy,7,26,0,123.0,137.0,25
13000,srv-c,tB_quiet,3,0,0,138.0,139.0,25
14000,srv-a,tA_noisy,7,25,0,121.0,134.0,26
14000,srv-a,tB_quiet,6,0,0,117.0,119.0,26
14000,srv-b,tA_noisy,6,34,0,108.0,139.0,25
14000,srv-b,tB_quiet,7,4,0,124.0,135.0,25
14000,srv-c,tA_noisy,7,32,0,116.0,139.0,25
14000,srv-c,tB_quiet,5,0,0,122.0,130.0,25
15000,srv-a,tA_noisy,7,22,0,131.0,134.0,26
15000,srv-a,tB_quiet,7,2,0,111.0,139.0,26
15000,srv-b,tA_noisy,7,24,0,130.0,133.0,25
15000,srv-b,tB_quiet,5,0,0,123.0,138.0,25
15000,srv-c,tA_noisy,6,23,0,121.0,135.0,25
15000,srv-c,tB_quiet,6,0,0,134.0,139.0,25
16000,srv-a,tA_noisy,6,30,0,130.0,139.0,27
16000,srv-a,tB_quiet,7,2,0,124.0,136.0,27
16000,srv-b,tA_noisy,7,21,0,117.0,134.0,25
16000,srv-b,tB_quiet,8,1,0,118.0,138.0,25
16000,srv-c,tA_noisy,7,25,0,122.0,130.0,25
16000,srv-c,tB_quiet,4,0,0,135.0,139.0,25
17000,srv-a,tA_noisy,7,36,0,124.0,133.0,27
17000,srv-a,tB_quiet,5,2,0,122.0,139.0,27
17000,srv-b,tA_noisy,7,37,0,123.0,137.0,25
17000,srv-b,tB_quiet,5,3,0,126.0,131.0,25
17000,srv-c,tA_noisy,6,25,0,129.0,139.0,27
17000,srv-c,tB_quiet,9,0,0,104.0,134.0,27
18000,srv-a,tA_noisy,7,21,0,111.0,139.0,28
18000,srv-a,tB_quiet,9,1,0,124.0,138.0,28
18000,srv-b,tA_noisy,6,22,0,119.0,134.0,26
18000,srv-b,tB_quiet,8,1,0,123.0,139.0,26
18000,srv-c,tA_noisy,8,21,0,123.0,132.0,27
18000,srv-c,tB_quiet,6,0,0,117.0,133.0,27
19000,srv-a,tA_noisy,7,26,0,118.0,135.0,28
19000,srv-a,tB_quiet,5,2,0,107.0,139.0,28
19000,srv-b,tA_noisy,6,28,0,119.0,139.0,26
19000,srv-b,tB_quiet,4,0,0,118.0,129.0,26
19000,srv-c,tA_noisy,6,25,0,121.0,134.0,27
19000,srv-c,tB_quiet,4,0,0,127.0,134.0,27
20000,srv-a,tA_noisy,7,20,0,117.0,133.0,28
20000,srv-a,tB_quiet,5,0,0,110.0,111.0,28
20000,srv-b,tA_noisy,6,26,0,126.0,135.0,27
20000,srv-b,tB_quiet,2,0,0,136.0,136.0,27
20000,srv-c,tA_noisy,7,25,0,112.0,139.0,27
20000,srv-c,tB_quiet,7,0,0,135.0,161.0,27
21000,srv-a,tA_noisy,7,35,0,126.0,137.0,30
21000,srv-a,tB_quiet,3,0,0,106.0,126.0,30
21000,srv-b,tA_noisy,7,29,0,109.0,139.0,27
21000,srv-b,tB_quiet,9,0,0,119.0,159.0,27
21000,srv-c,tA_noisy,7,19,0,119.0,128.0,29
21000,srv-c,tB_quiet,9,0,0,109.0,139.0,29
22000,srv-a,tA_noisy,7,28,0,128.0,138.0,30
22000,srv-a,tB_quiet,12,0,0,120.0,151.0,30
22000,srv-b,tA_noisy,6,23,0,118.0,134.0,27
22000,srv-b,tB_quiet,6,0,0,119.0,130.0,27
22000,srv-c,tA_noisy,6,30,0,118.0,135.0,29
22000,srv-c,tB_quiet,2,0,0,117.0,119.0,29
23000,srv-a,tA_noisy,7,23,0,119.0,137.0,32
23000,srv-a,tB_quiet,7,0,0,131.0,139.0,32
23000,srv-b,tA_noisy,7,24,0,128.0,138.0,27
23000,srv-b,tB_quiet,5,0,0,123.0,126.0,27
23000,srv-c,tA_noisy,7,29,0,114.0,135.0,29
23000,srv-c,tB_quiet,3,0,0,118.0,118.0,29
24000,srv-a,tA_noisy,7,35,0,124.0,138.0,32
24000,srv-a,tB_quiet,6,1,0,114.0,121.0,32
