time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,9,0,0,122.0,137.0,12
1000,srv-a,tB,11,0,0,130.0,138.0,12
1000,srv-b,tA,14,4,0,121.0,155.0,12
1000,srv-b,tB,10,2,0,132.0,150.0,12
1000,srv-c,tA,6,1,0,125.0,127.0,12
1000,srv-c,tB,11,1,0,127.0,134.0,12
2000,srv-a,tA,4,0,0,142.0,206.0,12
2000,srv-a,tB,7,0,0,128.0,178.0,12
2000,srv-b,tA,9,2,0,106.0,138.0,16
2000,srv-b,tB,8,0,0,112.0,137.0,16
2000,srv-c,tA,8,0,0,116.0,134.0,13
2000,srv-c,tB,11,8,0,128.0,196.0,13
3000,srv-a,tA,12,0,0,135.0,169.0,14
3000,srv-a,tB,9,2,0,137.0,212.0,14
3000,srv-b,tA,10,2,0,123.0,130.0,16
3000,srv-b,tB,7,0,0,112.0,180.0,16
3000,srv-c,tA,10,0,0,116.0,136.0,17
3000,srv-c,tB,7,0,0,114.0,139.0,17
4000,srv-a,tA,7,0,0,128.0,167.0,15
4000,srv-a,tB,9,0,0,110.0,173.0,15
4000,srv-b,tA,9,0,0,130.0,158.0,17
4000,srv-b,tB,13,0,0,124.0,155.0,17
4000,srv-c,tA,8,0,0,128.0,147.0,19
4000,srv-c,tB,9,0,0,126.0,138.0,19
5000,srv-a,tA,14,0,0,133.0,176.0,17
5000,srv-a,tB,8,0,0,111.0,183.0,17
5000,srv-b,tA,6,0,0,131.0,139.0,18
5000,srv-b,tB,11,0,0,119.0,147.0,18
5000,srv-c,tA,5,0,0,128.0,139.0,19
5000,srv-c,tB,8,0,0,131.0,138.0,19
6000,srv-a,tA,9,8,0,128.0,212.0,16
6000,srv-a,tB,13,0,0,133.0,200.0,16
6000,srv-b,tA,10,0,0,116.0,139.0,20
6000,srv-b,tB,7,0,0,124.0,143.0,20
6000,srv-c,tA,14,0,0,137.0,241.0,16
6000,srv-c,tB,12,0,0,139.0,204.0,16
7000,srv-a,tA,8,1,0,128.0,137.0,16
7000,srv-a,tB,9,2,0,126.0,149.0,16
7000,srv-b,tA,10,0,0,134.0,189.0,17
7000,srv-b,tB,15,0,0,159.0,203.0,17
7000,srv-c,tA,11,0,0,123.0,209.0,16
7000,srv-c,tB,7,0,0,121.0,201.0,16
8000,srv-a,tA,11,3,0,130.0,162.0,17
8000,srv-a,tB,10,0,0,129.0,229.0,17
8000,srv-b,tA,7,0,0,122.0,175.0,18
8000,srv-b,tB,5,0,0,125.0,131.0,18
8000,srv-c,tA,9,0,0,122.0,135.0,17
8000,srv-c,tB,9,0,0,122.0,180.0,17
9000,srv-a,tA,10,2,0,125.0,161.0,18
9000,srv-a,tB,10,1,0,130.0,196.0,18
9000,srv-b,tA,11,0,0,116.0,118.0,20
9000,srv-b,tB,8,0,0,130.0,136.0,20
9000,srv-c,tA,15,5,0,118.0,149.0,19
9000,srv-c,tB,6,0,0,122.0,139.0,19
10000,srv-a,tA,8,4,0,134.0,158.0,19
10000,srv-a,tB,8,1,0,116.0,195.0,19
10000,srv-b,tA,14,0,0,149.0,187.0,22
10000,srv-b,tB,7,0,0,135.0,172.0,22
10000,srv-c,tA,8,5,0,107.0,124.0,21
10000,srv-c,tB,2,0,0,139.0,139.0,21
11000,srv-a,tA,4,0,0,130.0,130.0,19
11000,srv-a,tB,7,0,0,129.0,139.0,19
11000,srv-b,tA,10,0,0,133.0,185.0,21
11000,srv-b,tB,12,0,0,134.0,170.0,21
11000,srv-c,tA,11,2,0,132.0,161.0,22
11000,srv-c,tB,12,0,0,117.0,139.0,22
12000,srv-a,tA,9,0,0,129.0,139.0,20
12000,srv-a,tB,5,0,0,108.0,138.0,20
12000,srv-b,tA,7,0,0,122.0,158.0,22
12000,srv-b,tB,9,0,0,122.0,147.0,22
12000,srv-c,tA,7,2,0,122.0,136.0,22
12000,srv-c,tB,5,0,0,130.0,139.0,22
13000,srv-a,tA,11,0,0,151.0,227.0,21
13000,srv-a,tB,11,0,0,115.0,174.0,21
13000,srv-b,tA,6,0,0,120.0,127.0,22
13000,srv-b,tB,9,0,0,126.0,132.0,22
13000,srv-c,tA,8,0,0,120.0,150.0,22
13000,srv-c,tB,11,0,0,123.0,161.0,22
14000,srv-a,tA,8,0,0,123.0,181.0,21
14000,srv-a,tB,11,0,0,116.0,139.0,21
14000,srv-b,tA,12,0,0,135.0,270.0,23
14000,srv-b,tB,12,0,0,121.0,194.0,23
14000,srv-c,tA,14,0,0,139.0,205.0,19
14000,srv-c,tB,13,0,0,139.0,199.0,19
15000,srv-a,tA,15,0,0,126.0,169.0,21
15000,srv-a,tB,8,0,0,131.0,170.0,21
15000,srv-b,tA,17,2,0,150.0,241.0,19
15000,srv-b,tB,12,0,0,163.0,194.0,19
15000,srv-c,tA,8,0,0,135.0,182.0,19
15000,srv-c,tB,12,2,0,154.0,175.0,19
16000,srv-a,tA,9,0,0,115.0,146.0,23
16000,srv-a,tB,7,0,0,131.0,196.0,23
