time_ms,accepted,rej_limiter,rej_overload,inflight,limit,p50_ms,p99_ms
1000,12,0,0,2,12,102.0,114.0
2000,15,0,0,1,14,95.0,158.0
3000,12,0,0,1,14,110.0,118.0
4000,10,0,0,0,14,102.0,111.0
5000,9,0,0,0,16,108.0,116.0
6000,14,0,0,1,17,97.0,115.0
7000,8,0,0,1,17,100.0,114.0
8000,10,0,0,0,19,97.0,116.0
9000,10,0,0,2,19,103.0,113.0
10000,12,0,0,1,21,100.0,118.0
11000,12,0,0,1,20,111.0,140.0
12000,13,0,0,1,20,109.0,184.0
13000,13,0,0,2,20,102.0,118.0
14000,9,0,0,2,20,104.0,116.0
15000,15,0,0,1,22,100.0,179.0
16000,30,0,0,9,17,108.0,191.0
17000,25,0,0,3,14,117.0,234.0
18000,28,0,0,5,15,106.0,123.0
19000,26,0,0,4,13,114.0,171.0
20000,23,0,0,1,15,103.0,113.0
21000,26,0,0,3,16,97.0,139.0
22000,38,0,0,7,11,135.0,197.0
23000,34,0,0,3,10,124.0,214.0
24000,31,0,0,10,12,108.0,209.0
25000,38,2,0,6,8,183.0,273.0
26000,38,0,0,6,8,112.0,188.0
27000,30,0,0,1,8,121.0,195.0
28000,34,0,0,4,9,112.0,194.0
29000,27,0,0,1,9,105.0,156.0
30000,33,0,0,1,7,153.0,196.0
31000,39,10,0,6,6,145.0,192.0
32000,34,10,0,2,7,142.0,187.0
33000,40,11,0,5,6,152.0,233.0
34000,33,14,0,4,8,129.0,214.0
35000,40,15,0,6,7,137.0,200.0
36000,34,3,0,7,7,123.0,183.0
37000,39,11,0,7,8,129.0,203.0
38000,41,11,0,7,7,149.0,194.0
39000,39,10,0,7,8,120.0,199.0
40000,38,15,0,2,6,147.0,200.0
41000,38,8,0,3,7,136.0,184.0
42000,35,3,0,6,8,109.0,191.0
43000,40,16,0,6,7,148.0,221.0
44000,39,10,0,6,7,139.0,202.0
45000,39,16,0,5,7,135.0,198.0
46000,33,0,0,4,9,108.0,176.0
47000,21,0,0,1,12,98.0,131.0
48000,28,0,0,4,12,109.0,176.0
49000,25,0,0,1,13,108.0,150.0
50000,29,0,0,1,15,101.0,175.0
51000,20,0,0,0,16,92.0,117.0
52000,27,0,0,2,18,103.0,152.0
53000,27,0,0,3,17,105.0,157.0
54000,26,0,0,1,19,106.0,168.0
55000,34,0,0,4,13,131.0,217.0
56000,28,0,0,4,11,109.0,212.0
57000,24,0,0,1,13,101.0,148.0
58000,28,0,0,3,13,105.0,158.0
59000,24,0,0,0,12,115.0,180.0
60000,32,0,0,3,13,109.0,169.0
