time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,11,0,0,136.0,211.0,80
1000,srv-a,tB,13,0,0,130.0,226.0,80
1000,srv-b,tA,20,0,0,177.0,253.0,80
1000,srv-b,tB,14,0,0,179.0,250.0,80
1000,srv-c,tA,3,0,0,335.0,335.0,80
1000,srv-c,tB,9,0,0,513.0,619.0,80
2000,srv-a,tA,9,0,0,136.0,234.0,80
2000,srv-a,tB,14,0,0,117.0,219.0,80
2000,srv-b,tA,18,0,0,157.0,295.0,80
2000,srv-b,tB,12,0,0,154.0,284.0,80
2000,srv-c,tA,6,0,0,908.0,1027.0,80
2000,srv-c,tB,6,0,0,919.0,1160.0,80
3000,srv-a,tA,12,0,0,134.0,254.0,80
3000,srv-a,tB,11,0,0,185.0,260.0,80
3000,srv-b,tA,12,0,0,127.0,179.0,80
3000,srv-b,tB,14,0,0,123.0,174.0,80
3000,srv-c,tA,3,0,0,1368.0,1843.0,80
3000,srv-c,tB,9,0,0,1630.0,1948.0,80
4000,srv-a,tA,16,0,0,138.0,252.0,80
4000,srv-a,tB,11,0,0,139.0,264.0,80
4000,srv-b,tA,8,0,0,131.0,179.0,80
4000,srv-b,tB,15,0,0,125.0,155.0,80
4000,srv-c,tA,3,0,0,2266.0,2567.0,80
4000,srv-c,tB,8,0,0,2427.0,2559.0,80
5000,srv-a,tA,20,0,0,297.0,397.0,80
5000,srv-a,tB,14,0,0,309.0,385.0,80
5000,srv-b,tA,16,0,0,135.0,234.0,80
5000,srv-b,tB,11,0,0,182.0,239.0,80
5000,srv-c,tA,8,0,0,3004.0,3128.0,80
5000,srv-c,tB,4,0,0,2757.0,3114.0,80
6000,srv-a,tA,17,0,0,212.0,288.0,80
6000,srv-a,tB,15,0,0,260.0,335.0,80
6000,srv-b,tA,9,0,0,181.0,302.0,80
6000,srv-b,tB,12,0,0,148.0,253.0,80
6000,srv-c,tA,7,0,0,3326.0,3681.0,80
6000,srv-c,tB,4,0,0,3481.0,3665.0,80
7000,srv-a,tA,18,0,0,167.0,215.0,80
