time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,11,0,0,136.0,211.0,11
1000,srv-a,tB,13,0,0,130.0,226.0,11
1000,srv-b,tA,20,0,0,177.0,253.0,9
1000,srv-b,tB,14,1,0,179.0,250.0,9
1000,srv-c,tA,3,3,0,335.0,335.0,10
1000,srv-c,tB,9,9,0,513.0,619.0,10
2000,srv-a,tA,9,0,0,156.0,217.0,13
2000,srv-a,tB,13,0,0,116.0,203.0,13
2000,srv-b,tA,18,0,0,129.0,281.0,10
2000,srv-b,tB,11,0,0,137.0,284.0,10
2000,srv-c,tA,7,7,0,834.0,975.0,7
2000,srv-c,tB,5,12,0,794.0,843.0,7
3000,srv-a,tA,12,0,0,160.0,220.0,12
3000,srv-a,tB,12,0,0,164.0,306.0,12
3000,srv-b,tA,12,0,0,112.0,196.0,14
3000,srv-b,tB,14,0,0,126.0,191.0,14
3000,srv-c,tA,5,8,0,822.0,972.0,6
3000,srv-c,tB,6,5,0,770.0,790.0,6
4000,srv-a,tA,17,0,0,141.0,271.0,10
4000,srv-a,tB,11,1,0,129.0,268.0,10
4000,srv-b,tA,8,0,0,135.0,145.0,15
4000,srv-b,tB,15,0,0,130.0,181.0,15
4000,srv-c,tA,3,5,0,408.0,606.0,6
4000,srv-c,tB,7,6,0,504.0,630.0,6
5000,srv-a,tA,19,2,0,244.0,305.0,6
5000,srv-a,tB,14,2,0,242.0,277.0,6
5000,srv-b,tA,16,0,0,135.0,247.0,12
5000,srv-b,tB,11,0,0,165.0,249.0,12
5000,srv-c,tA,7,10,0,528.0,658.0,7
5000,srv-c,tB,4,9,0,506.0,563.0,7
6000,srv-a,tA,16,0,0,132.0,186.0,8
6000,srv-a,tB,13,0,0,158.0,220.0,8
6000,srv-b,tA,9,0,0,180.0,289.0,11
6000,srv-b,tB,12,0,0,145.0,243.0,11
6000,srv-c,tA,8,6,0,601.0,736.0,6
6000,srv-c,tB,3,6,0,602.0,647.0,6
7000,srv-a,tA,17,0,0,136.0,195.0,10
7000,srv-a,tB,14,0,0,148.0,217.0,10
7000,srv-b,tA,12,0,0,132.0,187.0,12
7000,srv-b,tB,8,0,0,126.0,192.0,12
7000,srv-c,tA,7,15,0,514.0,623.0,6
7000,srv-c,tB,4,4,0,506.0,563.0,6
8000,srv-a,tA,9,0,0,144.0,199.0,11
8000,srv-a,tB,10,0,0,152.0,199.0,11
8000,srv-b,tA,19,0,0,160.0,254.0,9
8000,srv-b,tB,13,0,0,152.0,301.0,9
8000,srv-c,tA,9,9,0,524.0,706.0,7
8000,srv-c,tB,2,5,0,417.0,417.0,7
9000,srv-a,tA,11,0,0,123.0,139.0,13
9000,srv-a,tB,9,0,0,118.0,139.0,13
9000,srv-b,tA,11,0,0,147.0,227.0,9
9000,srv-b,tB,15,0,0,152.0,194.0,9
9000,srv-c,tA,4,10,0,590.0,712.0,7
9000,srv-c,tB,7,4,0,631.0,673.0,7
10000,srv-a,tA,14,0,0,188.0,312.0,11
10000,srv-a,tB,13,0,0,177.0,248.0,11
10000,srv-b,tA,9,0,0,115.0,138.0,12
10000,srv-b,tB,14,0,0,123.0,154.0,12
10000,srv-c,tA,4,8,0,557.0,640.0,6
10000,srv-c,tB,7,10,0,508.0,739.0,6
11000,srv-a,tA,15,0,0,181.0,240.0,9
11000,srv-a,tB,14,0,0,137.0,249.0,9
11000,srv-b,tA,19,2,0,198.0,299.0,9
11000,srv-b,tB,13,1,0,209.0,272.0,9
11000,srv-c,tA,7,9,0,538.0,678.0,7
11000,srv-c,tB,5,11,0,543.0,609.0,7
12000,srv-a,tA,14,0,0,134.0,249.0,8
12000,srv-a,tB,10,0,0,193.0,267.0,8
12000,srv-b,tA,12,1,0,210.0,296.0,7
12000,srv-b,tB,15,4,0,187.0,265.0,7
12000,srv-c,tA,7,4,0,589.0,702.0,6
12000,srv-c,tB,4,12,0,616.0,685.0,6
13000,srv-a,tA,9,0,0,116.0,139.0,11
13000,srv-a,tB,11,0,0,108.0,139.0,11
13000,srv-b,tA,13,0,0,149.0,210.0,8
13000,srv-b,tB,14,0,0,139.0,183.0,8
13000,srv-c,tA,4,8,0,529.0,605.0,7
13000,srv-c,tB,8,7,0,539.0,655.0,7
14000,srv-a,tA,14,0,0,216.0,263.0,9
14000,srv-a,tB,20,0,0,190.0,264.0,9
14000,srv-b,tA,12,0,0,124.0,168.0,10
14000,srv-b,tB,5,0,0,113.0,135.0,10
14000,srv-c,tA,6,7,0,521.0,602.0,7
14000,srv-c,tB,4,7,0,577.0,606.0,7
15000,srv-a,tA,17,0,0,191.0,278.0,8
15000,srv-a,tB,5,0,0,152.0,242.0,8
15000,srv-b,tA,17,0,0,139.0,196.0,12
15000,srv-b,tB,14,0,0,144.0,197.0,12
15000,srv-c,tA,7,8,0,655.0,740.0,7
15000,srv-c,tB,5,3,0,530.0,562.0,7
16000,srv-a,tA,11,0,0,121.0,190.0,12
16000,srv-a,tB,14,0,0,124.0,191.0,12
16000,srv-b,tA,21,0,0,179.0,277.0,10
16000,srv-b,tB,10,0,0,166.0,270.0,10
16000,srv-c,tA,9,9,0,631.0,678.0,6
16000,srv-c,tB,1,9,0,558.0,558.0,6
17000,srv-a,tA,12,0,0,125.0,189.0,13
17000,srv-a,tB,9,0,0,132.0,226.0,13
17000,srv-b,tA,16,0,0,123.0,186.0,13
17000,srv-b,tB,12,0,0,136.0,178.0,13
17000,srv-c,tA,5,6,0,499.0,634.0,7
17000,srv-c,tB,7,13,0,574.0,635.0,7
18000,srv-a,tA,12,0,0,152.0,210.0,14
18000,srv-a,tB,12,0,0,126.0,176.0,14
18000,srv-b,tA,10,0,0,128.0,171.0,14
18000,srv-b,tB,11,0,0,128.0,164.0,14
18000,srv-c,tA,5,12,0,569.0,605.0,7
18000,srv-c,tB,6,8,0,542.0,618.0,7
19000,srv-a,tA,21,3,0,280.0,364.0,7
19000,srv-a,tB,13,3,0,245.0,316.0,7
19000,srv-b,tA,12,0,0,134.0,174.0,13
19000,srv-b,tB,15,0,0,131.0,190.0,13
19000,srv-c,tA,5,7,0,593.0,738.0,6
19000,srv-c,tB,6,11,0,608.0,671.0,6
20000,srv-a,tA,14,2,0,137.0,208.0,9
20000,srv-a,tB,15,3,0,134.0,207.0,9
20000,srv-b,tA,20,0,0,224.0,288.0,8
20000,srv-b,tB,13,1,0,188.0,282.0,8
20000,srv-c,tA,7,4,0,467.0,557.0,7
20000,srv-c,tB,4,11,0,554.0,608.0,7
21000,srv-a,tA,7,0,0,115.0,183.0,11
21000,srv-a,tB,17,0,0,131.0,205.0,11
21000,srv-b,tA,12,5,0,200.0,250.0,6
21000,srv-b,tB,14,6,0,176.0,267.0,6
21000,srv-c,tA,8,10,0,587.0,674.0,7
21000,srv-c,tB,4,5,0,629.0,649.0,7
22000,srv-a,tA,8,0,0,120.0,172.0,13
22000,srv-a,tB,16,0,0,131.0,174.0,13
22000,srv-b,tA,13,0,0,136.0,174.0,9
22000,srv-b,tB,12,0,0,128.0,160.0,9
22000,srv-c,tA,8,3,0,606.0,631.0,6
22000,srv-c,tB,3,6,0,600.0,707.0,6
23000,srv-a,tA,11,0,0,129.0,170.0,16
23000,srv-a,tB,16,0,0,114.0,136.0,16
23000,srv-b,tA,9,0,0,119.0,232.0,8
23000,srv-b,tB,11,0,0,136.0,233.0,8
23000,srv-c,tA,5,10,0,396.0,580.0,7
23000,srv-c,tB,5,6,0,469.0,471.0,7
24000,srv-a,tA,14,0,0,132.0,254.0,12
24000,srv-a,tB,17,0,0,139.0,276.0,12
24000,srv-b,tA,13,0,0,133.0,191.0,12
24000,srv-b,tB,15,0,0,129.0,201.0,12
24000,srv-c,tA,7,7,0,543.0,729.0,7
24000,srv-c,tB,5,4,0,625.0,711.0,7
25000,srv-a,tA,24,0,0,178.0,245.0,9
25000,srv-a,tB,8,0,0,182.0,213.0,9
25000,srv-b,tA,13,2,0,170.0,373.0,9
25000,srv-b,tB,19,3,0,179.0,340.0,9
25000,srv-c,tA,5,8,0,635.0,705.0,6
25000,srv-c,tB,7,9,0,623.0,753.0,6
26000,srv-a,tA,17,2,0,141.0,293.0,7
26000,srv-a,tB,13,0,0,194.0,271.0,7
26000,srv-b,tA,16,0,0,124.0,376.0,9
26000,srv-b,tB,12,0,0,134.0,342.0,9
26000,srv-c,tA,5,8,0,586.0,665.0,6
26000,srv-c,tB,6,4,0,534.0,611.0,6
27000,srv-a,tA,11,1,0,135.0,187.0,9
27000,srv-a,tB,13,0,0,135.0,212.0,9
27000,srv-b,tA,10,0,0,124.0,181.0,11
27000,srv-b,tB,14,0,0,114.0,137.0,11
27000,srv-c,tA,5,7,0,491.0,563.0,7
27000,srv-c,tB,6,6,0,526.0,587.0,7
28000,srv-a,tA,17,0,0,126.0,183.0,11
28000,srv-a,tB,8,0,0,128.0,137.0,11
28000,srv-b,tA,13,0,0,125.0,147.0,14
28000,srv-b,tB,10,0,0,125.0,166.0,14
28000,srv-c,tA,6,8,0,589.0,685.0,7
28000,srv-c,tB,4,8,0,397.0,628.0,7
29000,srv-a,tA,19,0,0,132.0,178.0,13
29000,srv-a,tB,11,0,0,150.0,192.0,13
29000,srv-b,tA,16,0,0,129.0,176.0,15
29000,srv-b,tB,11,0,0,131.0,164.0,15
29000,srv-c,tA,4,3,0,509.0,728.0,6
29000,srv-c,tB,8,8,0,637.0,715.0,6
30000,srv-a,tA,9,0,0,113.0,139.0,15
30000,srv-a,tB,9,0,0,127.0,171.0,15
30000,srv-b,tA,14,0,0,121.0,163.0,16
