time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,11,0,0,136.0,233.0,10
1000,srv-a,tB,13,0,0,136.0,212.0,10
1000,srv-b,tA,19,2,0,133.0,214.0,11
1000,srv-b,tB,13,1,0,163.0,245.0,11
1000,srv-c,tA,3,4,0,320.0,320.0,10
1000,srv-c,tB,9,8,0,488.0,649.0,10
2000,srv-a,tA,10,0,0,174.0,240.0,10
2000,srv-a,tB,14,0,0,119.0,230.0,10
2000,srv-b,tA,17,0,0,138.0,282.0,9
2000,srv-b,tB,12,0,0,151.0,273.0,9
2000,srv-c,tA,7,6,0,851.0,944.0,7
2000,srv-c,tB,4,14,0,795.0,904.0,7
3000,srv-a,tA,11,0,0,134.0,206.0,10
3000,srv-a,tB,11,0,0,152.0,290.0,10
3000,srv-b,tA,12,0,0,129.0,179.0,13
3000,srv-b,tB,14,0,0,128.0,165.0,13
3000,srv-c,tA,7,5,0,651.0,788.0,6
3000,srv-c,tB,5,6,0,742.0,797.0,6
4000,srv-a,tA,16,0,0,142.0,233.0,12
4000,srv-a,tB,10,0,0,135.0,272.0,12
4000,srv-b,tA,8,0,0,125.0,162.0,15
4000,srv-b,tB,15,0,0,131.0,170.0,15
4000,srv-c,tA,6,3,0,504.0,593.0,6
4000,srv-c,tB,5,9,0,481.0,542.0,6
5000,srv-a,tA,19,2,0,264.0,316.0,6
5000,srv-a,tB,15,3,0,264.0,291.0,6
5000,srv-b,tA,16,0,0,136.0,235.0,15
5000,srv-b,tB,11,0,0,180.0,255.0,15
5000,srv-c,tA,8,11,0,527.0,606.0,7
5000,srv-c,tB,3,8,0,481.0,585.0,7
6000,srv-a,tA,13,4,0,126.0,192.0,10
6000,srv-a,tB,13,1,0,124.0,179.0,10
6000,srv-b,tA,9,0,0,159.0,283.0,12
6000,srv-b,tB,12,0,0,142.0,241.0,12
6000,srv-c,tA,4,6,0,575.0,658.0,7
6000,srv-c,tB,7,4,0,583.0,611.0,7
7000,srv-a,tA,15,3,0,139.0,203.0,12
7000,srv-a,tB,13,0,0,156.0,229.0,12
7000,srv-b,tA,12,0,0,122.0,192.0,15
7000,srv-b,tB,8,0,0,116.0,175.0,15
7000,srv-c,tA,6,18,0,540.0,576.0,6
7000,srv-c,tB,4,3,0,625.0,636.0,6
8000,srv-a,tA,7,1,0,128.0,201.0,13
8000,srv-a,tB,10,0,0,128.0,166.0,13
8000,srv-b,tA,19,0,0,162.0,278.0,12
8000,srv-b,tB,14,0,0,135.0,270.0,12
8000,srv-c,tA,7,11,0,398.0,652.0,7
8000,srv-c,tB,4,6,0,417.0,686.0,7
9000,srv-a,tA,11,0,0,107.0,139.0,14
9000,srv-a,tB,9,0,0,118.0,147.0,14
9000,srv-b,tA,11,0,0,144.0,206.0,11
9000,srv-b,tB,14,0,0,132.0,184.0,11
9000,srv-c,tA,5,9,0,564.0,680.0,8
9000,srv-c,tB,6,2,0,492.0,518.0,8
10000,srv-a,tA,14,0,0,192.0,282.0,12
10000,srv-a,tB,13,0,0,167.0,211.0,12
10000,srv-b,tA,9,0,0,130.0,168.0,14
10000,srv-b,tB,14,0,0,130.0,139.0,14
10000,srv-c,tA,5,5,0,569.0,644.0,6
10000,srv-c,tB,5,14,0,663.0,752.0,6
11000,srv-a,tA,15,0,0,178.0,265.0,10
11000,srv-a,tB,14,0,0,137.0,222.0,10
11000,srv-b,tA,19,0,0,197.0,305.0,10
11000,srv-b,tB,13,0,0,187.0,278.0,10
11000,srv-c,tA,8,11,0,562.0,725.0,6
11000,srv-c,tB,3,10,0,626.0,743.0,6
12000,srv-a,tA,14,0,0,135.0,251.0,9
12000,srv-a,tB,10,0,0,195.0,243.0,9
12000,srv-b,tA,14,1,0,288.0,345.0,7
12000,srv-b,tB,15,5,0,250.0,343.0,7
12000,srv-c,tA,3,6,0,524.0,560.0,7
12000,srv-c,tB,8,9,0,484.0,565.0,7
13000,srv-a,tA,9,0,0,122.0,137.0,10
13000,srv-a,tB,11,0,0,117.0,136.0,10
13000,srv-b,tA,13,0,0,145.0,221.0,8
13000,srv-b,tB,14,0,0,158.0,199.0,8
13000,srv-c,tA,4,8,0,565.0,608.0,7
13000,srv-c,tB,8,6,0,509.0,599.0,7
14000,srv-a,tA,14,2,0,221.0,302.0,9
14000,srv-a,tB,20,0,0,202.0,264.0,9
14000,srv-b,tA,12,0,0,119.0,176.0,10
14000,srv-b,tB,5,0,0,124.0,132.0,10
14000,srv-c,tA,6,9,0,593.0,605.0,7
14000,srv-c,tB,4,7,0,590.0,662.0,7
15000,srv-a,tA,15,0,0,139.0,300.0,8
15000,srv-a,tB,5,0,0,138.0,235.0,8
15000,srv-b,tA,18,0,0,117.0,180.0,13
15000,srv-b,tB,14,0,0,126.0,183.0,13
15000,srv-c,tA,5,10,0,599.0,660.0,6
15000,srv-c,tB,6,2,0,511.0,614.0,6
16000,srv-a,tA,11,0,0,113.0,151.0,11
16000,srv-a,tB,14,0,0,121.0,178.0,11
16000,srv-b,tA,20,0,0,166.0,285.0,11
16000,srv-b,tB,10,0,0,146.0,265.0,11
16000,srv-c,tA,4,12,0,392.0,459.0,7
16000,srv-c,tB,8,3,0,579.0,668.0,7
17000,srv-a,tA,13,0,0,116.0,195.0,13
17000,srv-a,tB,9,0,0,134.0,219.0,13
17000,srv-b,tA,16,0,0,123.0,196.0,13
17000,srv-b,tB,12,0,0,136.0,162.0,13
17000,srv-c,tA,5,7,0,503.0,606.0,7
17000,srv-c,tB,7,13,0,616.0,642.0,7
18000,srv-a,tA,12,0,0,161.0,208.0,14
18000,srv-a,tB,12,0,0,115.0,216.0,14
18000,srv-b,tA,10,0,0,148.0,183.0,14
18000,srv-b,tB,11,0,0,116.0,160.0,14
18000,srv-c,tA,5,12,0,581.0,685.0,7
18000,srv-c,tB,6,10,0,538.0,628.0,7
19000,srv-a,tA,18,3,0,291.0,433.0,9
19000,srv-a,tB,14,1,0,248.0,380.0,9
19000,srv-b,tA,12,0,0,126.0,151.0,15
19000,srv-b,tB,15,0,0,137.0,189.0,15
19000,srv-c,tA,5,8,0,572.0,644.0,7
19000,srv-c,tB,6,10,0,518.0,603.0,7
20000,srv-a,tA,16,2,0,148.0,280.0,9
20000,srv-a,tB,16,3,0,204.0,313.0,9
20000,srv-b,tA,19,0,0,195.0,304.0,10
20000,srv-b,tB,13,0,0,181.0,281.0,10
20000,srv-c,tA,6,4,0,503.0,578.0,7
20000,srv-c,tB,4,10,0,489.0,606.0,7
21000,srv-a,tA,7,0,0,131.0,189.0,9
21000,srv-a,tB,14,3,0,134.0,167.0,9
21000,srv-b,tA,13,5,0,235.0,316.0,6
21000,srv-b,tB,17,4,0,247.0,314.0,6
21000,srv-c,tA,7,12,0,545.0,683.0,7
21000,srv-c,tB,4,4,0,601.0,681.0,7
22000,srv-a,tA,8,0,0,122.0,153.0,11
22000,srv-a,tB,16,0,0,128.0,185.0,11
22000,srv-b,tA,13,0,0,137.0,172.0,9
22000,srv-b,tB,11,1,0,129.0,201.0,9
22000,srv-c,tA,6,4,0,631.0,695.0,6
22000,srv-c,tB,6,5,0,573.0,621.0,6
23000,srv-a,tA,11,0,0,123.0,179.0,14
23000,srv-a,tB,16,0,0,119.0,142.0,14
23000,srv-b,tA,9,0,0,128.0,199.0,9
23000,srv-b,tB,11,0,0,135.0,258.0,9
23000,srv-c,tA,5,12,0,408.0,631.0,7
23000,srv-c,tB,6,5,0,509.0,539.0,7
24000,srv-a,tA,12,0,0,131.0,236.0,15
24000,srv-a,tB,17,0,0,168.0,281.0,15
24000,srv-b,tA,13,0,0,121.0,197.0,12
24000,srv-b,tB,15,0,0,129.0,203.0,12
24000,srv-c,tA,4,8,0,562.0,678.0,7
24000,srv-c,tB,6,2,0,545.0,697.0,7
25000,srv-a,tA,26,0,0,201.0,293.0,7
25000,srv-a,tB,8,0,0,210.0,278.0,7
25000,srv-b,tA,15,0,0,220.0,314.0,9
25000,srv-b,tB,19,3,0,186.0,340.0,9
25000,srv-c,tA,4,8,0,545.0,570.0,7
25000,srv-c,tB,7,9,0,501.0,618.0,7
26000,srv-a,tA,17,2,0,143.0,235.0,7
26000,srv-a,tB,12,1,0,172.0,227.0,7
26000,srv-b,tA,16,0,0,138.0,303.0,8
26000,srv-b,tB,12,0,0,146.0,323.0,8
26000,srv-c,tA,9,5,0,648.0,707.0,6
26000,srv-c,tB,3,7,0,666.0,697.0,6
27000,srv-a,tA,10,2,0,128.0,182.0,9
27000,srv-a,tB,13,0,0,124.0,195.0,9
27000,srv-b,tA,10,0,0,122.0,165.0,12
27000,srv-b,tB,14,0,0,120.0,147.0,12
27000,srv-c,tA,5,7,0,554.0,632.0,6
27000,srv-c,tB,5,7,0,539.0,553.0,6
28000,srv-a,tA,18,0,0,133.0,188.0,13
28000,srv-a,tB,8,0,0,123.0,136.0,13
28000,srv-b,tA,11,0,0,126.0,162.0,14
28000,srv-b,tB,10,0,0,127.0,135.0,14
28000,srv-c,tA,5,7,0,490.0,600.0,7
28000,srv-c,tB,6,8,0,476.0,503.0,7
29000,srv-a,tA,16,2,0,136.0,184.0,13
29000,srv-a,tB,11,0,0,137.0,180.0,13
29000,srv-b,tA,18,0,0,133.0,200.0,14
29000,srv-b,tB,11,0,0,130.0,192.0,14
29000,srv-c,tA,6,3,0,581.0,602.0,6
29000,srv-c,tB,6,8,0,569.0,720.0,6
30000,srv-a,tA,9,0,0,115.0,139.0,14
30000,srv-a,tB,9,0,0,123.0,178.0,14
30000,srv-b,tA,14,0,0,131.0,176.0,15
30000,srv-b,tB,10,0,0,127.0,162.0,15
30000,srv-c,tA,6,12,0,402.0,590.0,7
30000,srv-c,tB,5,5,0,548.0,594.0,7
31000,srv-a,tA,14,0,0,134.0,286.0,12
31000,srv-a,tB,15,0,0,197.0,296.0,12
31000,srv-b,tA,14,0,0,134.0,185.0,15
31000,srv-b,tB,10,0,0,129.0,157.0,15
31000,srv-c,tA,5,3,0,477.0,515.0,7
31000,srv-c,tB,6,8,0,544.0,562.0,7
32000,srv-a,tA,21,1,0,138.0,209.0,12
32000,srv-a,tB,9,0,0,133.0,183.0,12
32000,srv-b,tA,18,0,0,144.0,228.0,12
32000,srv-b,tB,14,0,0,171.0,250.0,12
32000,srv-c,tA,7,3,0,591.0,668.0,7
32000,srv-c,tB,5,5,0,457.0,474.0,7
33000,srv-a,tA,16,4,0,126.0,170.0,14
33000,srv-a,tB,11,0,0,131.0,180.0,14
33000,srv-b,tA,7,0,0,131.0,167.0,13
33000,srv-b,tB,15,0,0,121.0,148.0,13
33000,srv-c,tA,5,10,0,572.0,616.0,7
33000,srv-c,tB,7,7,0,544.0,658.0,7
34000,srv-a,tA,13,0,0,141.0,247.0,15
34000,srv-a,tB,11,0,0,169.0,234.0,15
34000,srv-b,tA,8,0,0,116.0,135.0,15
34000,srv-b,tB,8,0,0,129.0,137.0,15
34000,srv-c,tA,4,9,0,622.0,678.0,6
34000,srv-c,tB,6,3,0,510.0,675.0,6
35000,srv-a,tA,13,0,0,128.0,205.0,13
35000,srv-a,tB,16,0,0,137.0,196.0,13
35000,srv-b,tA,21,0,0,203.0,296.0,9
35000,srv-b,tB,13,0,0,208.0,269.0,9
35000,srv-c,tA,7,13,0,453.0,555.0,7
35000,srv-c,tB,4,8,0,506.0,557.0,7
36000,srv-a,tA,22,0,0,212.0,272.0,8
36000,srv-a,tB,10,0,0,224.0,268.0,8
36000,srv-b,tA,11,0,0,183.0,246.0,8
36000,srv-b,tB,16,0,0,163.0,279.0,8
36000,srv-c,tA,6,7,0,508.0,600.0,7
36000,srv-c,tB,6,7,0,608.0,622.0,7
37000,srv-a,tA,15,2,0,124.0,174.0,10
37000,srv-a,tB,8,0,0,129.0,147.0,10
37000,srv-b,tA,15,0,0,138.0,225.0,9
37000,srv-b,tB,17,0,0,142.0,203.0,9
37000,srv-c,tA,5,7,0,615.0,657.0,6
37000,srv-c,tB,5,5,0,582.0,591.0,6
38000,srv-a,tA,11,0,0,127.0,161.0,13
38000,srv-a,tB,12,0,0,131.0,171.0,13
38000,srv-b,tA,15,0,0,124.0,253.0,9
38000,srv-b,tB,8,0,0,157.0,259.0,9
38000,srv-c,tA,7,7,0,510.0,630.0,7
38000,srv-c,tB,4,9,0,512.0,696.0,7
39000,srv-a,tA,17,0,0,150.0,191.0,14
39000,srv-a,tB,13,0,0,131.0,196.0,14
39000,srv-b,tA,14,4,0,194.0,255.0,6
39000,srv-b,tB,13,0,0,188.0,256.0,6
39000,srv-c,tA,6,5,0,595.0,658.0,7
39000,srv-c,tB,5,5,0,554.0,635.0,7
40000,srv-a,tA,10,0,0,130.0,138.0,13
40000,srv-a,tB,14,0,0,123.0,231.0,13
40000,srv-b,tA,10,3,0,131.0,207.0,9
40000,srv-b,tB,12,0,0,125.0,204.0,9
40000,srv-c,tA,6,13,0,581.0,617.0,6
40000,srv-c,tB,5,2,0,597.0,650.0,6
41000,srv-a,tA,11,0,0,119.0,138.0,16
41000,srv-a,tB,10,0,0,123.0,187.0,16
41000,srv-b,tA,11,2,0,139.0,166.0,11
41000,srv-b,tB,10,0,0,146.0,186.0,11
