time_ms,accepted,rej_limiter,rej_overload,inflight,limit,p50_ms,p99_ms
1000,12,0,0,2,0,102.0,114.0
2000,15,0,0,1,0,95.0,158.0
3000,12,0,0,1,0,110.0,118.0
4000,10,0,0,0,0,102.0,111.0
5000,9,0,0,0,0,108.0,116.0
6000,14,0,0,1,0,97.0,115.0
7000,8,0,0,1,0,100.0,114.0
8000,10,0,0,0,0,97.0,116.0
9000,10,0,0,2,0,103.0,113.0
10000,12,0,0,1,0,100.0,118.0
11000,12,0,0,1,0,111.0,140.0
12000,13,0,0,1,0,109.0,184.0
13000,13,0,0,2,0,102.0,118.0
14000,9,0,0,2,0,104.0,116.0
15000,15,0,0,1,0,100.0,179.0
16000,30,0,0,9,0,108.0,191.0
17000,25,0,0,3,0,117.0,234.0
18000,28,0,0,5,0,106.0,123.0
19000,26,0,0,4,0,114.0,171.0
20000,23,0,0,1,0,103.0,113.0
21000,26,0,0,3,0,97.0,139.0
22000,38,0,0,7,0,135.0,197.0
23000,34,0,0,3,0,124.0,214.0
24000,31,0,0,10,0,108.0,209.0
25000,40,0,0,5,0,195.0,299.0
26000,30,0,0,2,0,117.0,182.0
27000,27,0,0,4,0,96.0,131.0
28000,32,0,0,6,0,108.0,171.0
29000,23,0,0,1,0,131.0,249.0
30000,30,0,0,3,0,111.0,165.0
31000,39,0,0,15,0,185.0,298.0
32000,40,0,0,36,0,393.0,630.0
33000,40,0,0,41,0,798.0,943.0
34000,39,0,0,36,0,985.0,1167.0
35000,40,0,0,58,0,934.0,1050.0
36000,39,0,0,69,0,1118.0,1370.0
37000,40,0,0,79,0,1491.0,1624.0
38000,41,0,0,90,0,1717.0,1821.0
39000,39,0,0,105,0,1900.0,2027.0
40000,39,0,0,113,0,2181.0,2276.0
41000,41,0,0,120,0,2391.0,2565.0
42000,39,0,0,123,0,2600.0,2684.0
43000,41,0,0,143,0,2778.0,2915.0
44000,41,0,0,144,0,2824.0,2994.0
45000,41,0,0,157,0,2971.0,3073.0
46000,40,0,0,150,0,3222.0,3353.0
47000,41,0,0,131,0,3462.0,3573.0
48000,40,0,0,123,0,3626.0,3725.0
49000,40,0,0,111,0,3832.0,3957.0
50000,40,0,0,97,0,3755.0,3915.0
51000,40,0,0,86,0,3266.0,3488.0
52000,41,0,0,73,0,2740.0,3243.0
53000,41,0,0,65,0,2343.0,2680.0
54000,39,0,0,56,0,1887.0,2151.0
55000,42,0,0,38,0,1620.0,1865.0
56000,39,0,0,32,0,1375.0,1563.0
57000,39,0,0,19,0,879.0,1001.0
58000,40,0,0,16,0,463.0,705.0
59000,41,0,0,17,0,421.0,545.0
60000,39,0,0,8,0,386.0,511.0
