time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA_noisy,10,18,0,127.0,175.0,40
1000,srv-a,tB_quiet,3,0,0,113.0,132.0,40
1000,srv-b,tA_noisy,17,25,0,157.0,276.0,40
1000,srv-b,tB_quiet,7,0,0,135.0,206.0,40
1000,srv-c,tA_noisy,12,28,0,123.0,138.0,40
1000,srv-c,tB_quiet,6,0,0,119.0,131.0,40
2000,srv-a,tA_noisy,5,30,0,128.0,130.0,40
2000,srv-a,tB_quiet,4,0,0,124.0,128.0,40
2000,srv-b,tA_noisy,5,28,0,119.0,139.0,40
2000,srv-b,tB_quiet,8,0,0,127.0,137.0,40
2000,srv-c,tA_noisy,10,21,0,117.0,132.0,40
2000,srv-c,tB_quiet,3,0,0,110.0,131.0,40
3000,srv-a,tA_noisy,8,33,0,116.0,126.0,40
3000,srv-a,tB_quiet,11,0,0,118.0,138.0,40
3000,srv-b,tA_noisy,6,22,0,114.0,137.0,40
3000,srv-b,tB_quiet,6,0,0,107.0,110.0,40
3000,srv-c,tA_noisy,6,26,0,114.0,139.0,40
3000,srv-c,tB_quiet,7,0,0,120.0,133.0,40
4000,srv-a,tA_noisy,8,30,0,113.0,139.0,40
4000,srv-a,tB_quiet,5,0,0,128.0,134.0,40
4000,srv-b,tA_noisy,9,20,0,128.0,143.0,40
4000,srv-b,tB_quiet,8,0,0,116.0,142.0,40
4000,srv-c,tA_noisy,3,28,0,127.0,127.0,40
4000,srv-c,tB_quiet,4,0,0,123.0,189.0,40
5000,srv-a,tA_noisy,6,32,0,129.0,135.0,40
5000,srv-a,tB_quiet,7,0,0,124.0,134.0,40
5000,srv-b,tA_noisy,5,30,0,122.0,126.0,40
5000,srv-b,tB_quiet,5,0,0,129.0,130.0,40
5000,srv-c,tA_noisy,8,29,0,120.0,132.0,40
5000,srv-c,tB_quiet,5,0,0,125.0,135.0,40
6000,srv-a,tA_noisy,6,13,0,107.0,123.0,40
6000,srv-a,tB_quiet,6,0,0,135.0,138.0,40
6000,srv-b,tA_noisy,8,22,0,128.0,139.0,40
6000,srv-b,tB_quiet,8,0,0,132.0,162.0,40
6000,srv-c,tA_noisy,7,24,0,133.0,138.0,40
6000,srv-c,tB_quiet,8,0,0,131.0,139.0,40
7000,srv-a,tA_noisy,6,31,0,135.0,136.0,40
7000,srv-a,tB_quiet,5,0,0,127.0,145.0,40
7000,srv-b,tA_noisy,6,30,0,117.0,124.0,40
7000,srv-b,tB_quiet,5,0,0,116.0,123.0,40
7000,srv-c,tA_noisy,8,29,0,119.0,137.0,40
7000,srv-c,tB_quiet,9,0,0,126.0,139.0,40
8000,srv-a,tA_noisy,7,22,0,110.0,134.0,40
8000,srv-a,tB_quiet,9,0,0,120.0,137.0,40
8000,srv-b,tA_noisy,8,32,0,127.0,136.0,40
8000,srv-b,tB_quiet,9,0,0,113.0,136.0,40
8000,srv-c,tA_noisy,5,28,0,118.0,137.0,40
8000,srv-c,tB_quiet,9,0,0,132.0,141.0,40
9000,srv-a,tA_noisy,8,28,0,128.0,136.0,40
9000,srv-a,tB_quiet,5,0,0,106.0,130.0,40
9000,srv-b,tA_noisy,6,22,0,115.0,136.0,40
9000,srv-b,tB_quiet,5,0,0,128.0,134.0,40
9000,srv-c,tA_noisy,6,26,0,128.0,134.0,40
9000,srv-c,tB_quiet,6,0,0,111.0,136.0,40
10000,srv-a,tA_noisy,2,25,0,141.0,144.0,40
10000,srv-a,tB_quiet,7,0,0,123.0,138.0,40
10000,srv-b,tA_noisy,8,30,0,123.0,127.0,40
10000,srv-b,tB_quiet,5,0,0,117.0,130.0,40
10000,srv-c,tA_noisy,10,19,0,125.0,137.0,40
10000,srv-c,tB_quiet,6,0,0,129.0,135.0,40
11000,srv-a,tA_noisy,4,19,0,126.0,132.0,40
11000,srv-a,tB_quiet,7,0,0,122.0,133.0,40
11000,srv-b,tA_noisy,9,26,0,129.0,138.0,40
11000,srv-b,tB_quiet,11,0,0,113.0,159.0,40
11000,srv-c,tA_noisy,7,29,0,115.0,137.0,40
11000,srv-c,tB_quiet,10,0,0,128.0,143.0,40
12000,srv-a,tA_noisy,4,30,0,117.0,137.0,40
12000,srv-a,tB_quiet,11,0,0,120.0,138.0,40
12000,srv-b,tA_noisy,5,20,0,119.0,132.0,40
12000,srv-b,tB_quiet,7,1,0,107.0,134.0,40
12000,srv-c,tA_noisy,11,25,0,135.0,161.0,40
12000,srv-c,tB_quiet,9,1,0,118.0,197.0,40
13000,srv-a,tA_noisy,8,37,0,120.0,139.0,40
13000,srv-a,tB_quiet,9,2,0,122.0,138.0,40
13000,srv-b,tA_noisy,8,30,0,124.0,139.0,40
13000,srv-b,tB_quiet,7,2,0,113.0,129.0,40
13000,srv-c,tA_noisy,4,29,0,126.0,160.0,40
13000,srv-c,tB_quiet,3,0,0,116.0,124.0,40
14000,srv-a,tA_noisy,6,26,0,116.0,138.0,40
14000,srv-a,tB_quiet,6,0,0,117.0,133.0,40
14000,srv-b,tA_noisy,10,30,0,131.0,199.0,40
14000,srv-b,tB_quiet,10,1,0,135.0,163.0,40
14000,srv-c,tA_noisy,4,35,0,135.0,135.0,40
14000,srv-c,tB_quiet,5,0,0,111.0,139.0,40
15000,srv-a,tA_noisy,9,20,0,117.0,138.0,40
15000,srv-a,tB_quiet,9,0,0,124.0,135.0,40
15000,srv-b,tA_noisy,7,24,0,135.0,139.0,40
15000,srv-b,tB_quiet,5,0,0,130.0,134.0,40
15000,srv-c,tA_noisy,4,25,0,118.0,142.0,40
15000,srv-c,tB_quiet,5,1,0,130.0,165.0,40
16000,srv-a,tA_noisy,5,31,0,127.0,137.0,40
16000,srv-a,tB_quiet,7,2,0,122.0,133.0,40
16000,srv-b,tA_noisy,6,22,0,106.0,119.0,40
16000,srv-b,tB_quiet,8,1,0,119.0,133.0,40
16000,srv-c,tA_noisy,9,23,0,128.0,139.0,40
16000,srv-c,tB_quiet,4,0,0,134.0,139.0,40
