time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA_noisy,28,0,0,159.0,252.0,9
1000,srv-a,tB_quiet,3,0,0,156.0,230.0,9
1000,srv-b,tA_noisy,28,13,0,231.0,325.0,6
1000,srv-b,tB_quiet,6,1,0,206.0,273.0,6
1000,srv-c,tA_noisy,30,5,0,174.0,360.0,11
1000,srv-c,tB_quiet,3,2,0,162.0,167.0,11
2000,srv-a,tA_noisy,28,6,0,149.0,272.0,7
2000,srv-a,tB_quiet,4,0,0,170.0,170.0,7
2000,srv-b,tA_noisy,26,4,0,149.0,236.0,8
2000,srv-b,tB_quiet,8,0,0,184.0,218.0,8
2000,srv-c,tA_noisy,28,6,0,269.0,381.0,6
2000,srv-c,tB_quiet,3,1,0,251.0,280.0,6
3000,srv-a,tA_noisy,25,15,0,205.0,259.0,6
3000,srv-a,tB_quiet,8,3,0,185.0,236.0,6
3000,srv-b,tA_noisy,29,3,0,181.0,247.0,7
3000,srv-b,tB_quiet,3,1,0,139.0,139.0,7
3000,srv-c,tA_noisy,25,9,0,153.0,243.0,7
3000,srv-c,tB_quiet,3,4,0,168.0,168.0,7
4000,srv-a,tA_noisy,30,9,0,166.0,232.0,7
4000,srv-a,tB_quiet,3,1,0,166.0,176.0,7
4000,srv-b,tA_noisy,23,6,0,181.0,255.0,6
4000,srv-b,tB_quiet,7,3,0,173.0,234.0,6
4000,srv-c,tA_noisy,28,2,0,152.0,258.0,9
4000,srv-c,tB_quiet,3,1,0,140.0,232.0,9
5000,srv-a,tA_noisy,26,13,0,167.0,226.0,7
5000,srv-a,tB_quiet,6,2,0,175.0,231.0,7
5000,srv-b,tA_noisy,25,5,0,139.0,225.0,9
5000,srv-b,tB_quiet,4,1,0,128.0,166.0,9
5000,srv-c,tA_noisy,26,12,0,190.0,256.0,7
5000,srv-c,tB_quiet,5,0,0,215.0,227.0,7
6000,srv-a,tA_noisy,19,0,0,124.0,217.0,9
6000,srv-a,tB_quiet,6,0,0,139.0,139.0,9
6000,srv-b,tA_noisy,26,9,0,190.0,289.0,7
6000,srv-b,tB_quiet,6,2,0,156.0,209.0,7
6000,srv-c,tA_noisy,23,8,0,213.0,261.0,6
6000,srv-c,tB_quiet,7,1,0,207.0,215.0,6
7000,srv-a,tA_noisy,26,9,0,231.0,287.0,7
7000,srv-a,tB_quiet,5,0,0,178.0,261.0,7
7000,srv-b,tA_noisy,24,9,0,191.0,243.0,7
7000,srv-b,tB_quiet,4,1,0,135.0,137.0,7
7000,srv-c,tA_noisy,28,9,0,172.0,247.0,7
7000,srv-c,tB_quiet,5,4,0,148.0,256.0,7
8000,srv-a,tA_noisy,23,8,0,150.0,253.0,8
