time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA_noisy,28,0,0,159.0,252.0,0
1000,srv-a,tB_quiet,3,0,0,156.0,230.0,0
1000,srv-b,tA_noisy,30,0,0,316.0,454.0,0
1000,srv-b,tB_quiet,4,0,0,206.0,256.0,0
1000,srv-c,tA_noisy,30,0,0,174.0,360.0,0
1000,srv-c,tB_quiet,3,0,0,162.0,167.0,0
2000,srv-a,tA_noisy,31,0,0,283.0,396.0,0
2000,srv-a,tB_quiet,2,0,0,153.0,153.0,0
2000,srv-b,tA_noisy,28,0,0,525.0,665.0,0
2000,srv-b,tB_quiet,7,0,0,530.0,587.0,0
2000,srv-c,tA_noisy,28,0,0,477.0,543.0,0
2000,srv-c,tB_quiet,6,0,0,470.0,500.0,0
3000,srv-a,tA_noisy,23,0,0,322.0,477.0,0
3000,srv-a,tB_quiet,9,0,0,319.0,474.0,0
3000,srv-b,tA_noisy,28,0,0,713.0,820.0,0
3000,srv-b,tB_quiet,5,0,0,686.0,797.0,0
3000,srv-c,tA_noisy,31,0,0,485.0,594.0,0
3000,srv-c,tB_quiet,2,0,0,447.0,525.0,0
4000,srv-a,tA_noisy,31,0,0,719.0,881.0,0
4000,srv-a,tB_quiet,4,0,0,568.0,675.0,0
4000,srv-b,tA_noisy,25,0,0,797.0,912.0,0
4000,srv-b,tB_quiet,7,0,0,810.0,865.0,0
4000,srv-c,tA_noisy,27,0,0,608.0,771.0,0
4000,srv-c,tB_quiet,7,0,0,710.0,740.0,0
5000,srv-a,tA_noisy,28,0,0,981.0,1100.0,0
5000,srv-a,tB_quiet,5,0,0,1019.0,1050.0,0
5000,srv-b,tA_noisy,26,0,0,1021.0,1088.0,0
5000,srv-b,tB_quiet,7,0,0,993.0,1071.0,0
5000,srv-c,tA_noisy,29,0,0,782.0,845.0,0
5000,srv-c,tB_quiet,4,0,0,781.0,843.0,0
6000,srv-a,tA_noisy,28,0,0,1281.0,1459.0,0
6000,srv-a,tB_quiet,5,0,0,1211.0,1377.0,0
6000,srv-b,tA_noisy,30,0,0,933.0,1089.0,0
6000,srv-b,tB_quiet,4,0,0,905.0,1028.0,0
6000,srv-c,tA_noisy,29,0,0,1009.0,1119.0,0
6000,srv-c,tB_quiet,4,0,0,995.0,1004.0,0
7000,srv-a,tA_noisy,28,0,0,1432.0,1631.0,0
7000,srv-a,tB_quiet,6,0,0,1378.0,1560.0,0
7000,srv-b,tA_noisy,25,0,0,1166.0,1381.0,0
7000,srv-b,tB_quiet,7,0,0,1250.0,1285.0,0
7000,srv-c,tA_noisy,25,0,0,1182.0,1331.0,0
7000,srv-c,tB_quiet,7,0,0,1246.0,1301.0,0
8000,srv-a,tA_noisy,29,0,0,1335.0,1432.0,0
8000,srv-a,tB_quiet,5,0,0,1292.0,1398.0,0
8000,srv-b,tA_noisy,28,0,0,1297.0,1386.0,0
8000,srv-b,tB_quiet,6,0,0,1317.0,1416.0,0
8000,srv-c,tA_noisy,28,0,0,1291.0,1409.0,0
8000,srv-c,tB_quiet,6,0,0,1264.0,1286.0,0
9000,srv-a,tA_noisy,25,0,0,1492.0,1657.0,0
9000,srv-a,tB_quiet,9,0,0,1613.0,1647.0,0
9000,srv-b,tA_noisy,30,0,0,1471.0,1731.0,0
9000,srv-b,tB_quiet,3,0,0,1687.0,1687.0,0
9000,srv-c,tA_noisy,28,0,0,1566.0,1677.0,0
9000,srv-c,tB_quiet,5,0,0,1533.0,1611.0,0
10000,srv-a,tA_noisy,28,0,0,1663.0,1747.0,0
10000,srv-a,tB_quiet,3,0,0,1678.0,1724.0,0
10000,srv-b,tA_noisy,27,0,0,1898.0,2051.0,0
10000,srv-b,tB_quiet,8,0,0,1932.0,1978.0,0
10000,srv-c,tA_noisy,26,0,0,1811.0,1861.0,0
10000,srv-c,tB_quiet,7,0,0,1739.0,1840.0,0
11000,srv-a,tA_noisy,28,0,0,1671.0,1918.0,0
11000,srv-a,tB_quiet,7,0,0,1833.0,1894.0,0
11000,srv-b,tA_noisy,29,0,0,2060.0,2184.0,0
11000,srv-b,tB_quiet,4,0,0,2101.0,2160.0,0
