time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,9,0,0,122.0,137.0,12
1000,srv-a,tB,10,0,0,127.0,136.0,12
1000,srv-b,tA,16,2,0,130.0,155.0,12
1000,srv-b,tB,10,1,0,138.0,167.0,12
1000,srv-c,tA,6,1,0,111.0,130.0,12
1000,srv-c,tB,12,0,0,119.0,134.0,12
2000,srv-a,tA,4,0,0,148.0,166.0,12
2000,srv-a,tB,8,0,0,128.0,205.0,12
2000,srv-b,tA,11,0,0,132.0,174.0,13
2000,srv-b,tB,9,0,0,135.0,158.0,13
2000,srv-c,tA,8,0,0,114.0,144.0,15
2000,srv-c,tB,19,0,0,128.0,204.0,15
3000,srv-a,tA,12,0,0,130.0,175.0,13
3000,srv-a,tB,11,0,0,115.0,219.0,13
3000,srv-b,tA,12,0,0,132.0,157.0,16
3000,srv-b,tB,7,0,0,120.0,138.0,16
3000,srv-c,tA,10,0,0,112.0,134.0,17
3000,srv-c,tB,7,0,0,120.0,133.0,17
4000,srv-a,tA,7,0,0,124.0,139.0,15
4000,srv-a,tB,9,0,0,125.0,163.0,15
4000,srv-b,tA,9,0,0,127.0,170.0,17
4000,srv-b,tB,14,0,0,129.0,179.0,17
4000,srv-c,tA,8,0,0,114.0,138.0,19
4000,srv-c,tB,9,0,0,128.0,135.0,19
5000,srv-a,tA,14,0,0,135.0,187.0,16
5000,srv-a,tB,7,0,0,133.0,183.0,16
5000,srv-b,tA,6,0,0,113.0,135.0,19
5000,srv-b,tB,10,0,0,125.0,139.0,19
5000,srv-c,tA,5,0,0,117.0,141.0,20
5000,srv-c,tB,8,0,0,123.0,135.0,20
6000,srv-a,tA,9,8,0,134.0,195.0,15
6000,srv-a,tB,14,0,0,124.0,223.0,15
6000,srv-b,tA,10,0,0,108.0,139.0,20
6000,srv-b,tB,7,0,0,134.0,147.0,20
6000,srv-c,tA,14,0,0,149.0,269.0,21
6000,srv-c,tB,12,0,0,133.0,215.0,21
7000,srv-a,tA,7,2,0,131.0,137.0,16
7000,srv-a,tB,9,2,0,126.0,139.0,16
7000,srv-b,tA,10,0,0,136.0,198.0,17
7000,srv-b,tB,15,0,0,149.0,213.0,17
7000,srv-c,tA,11,0,0,123.0,228.0,22
7000,srv-c,tB,7,0,0,128.0,236.0,22
8000,srv-a,tA,10,4,0,126.0,138.0,15
8000,srv-a,tB,9,1,0,107.0,218.0,15
8000,srv-b,tA,7,0,0,129.0,158.0,18
8000,srv-b,tB,5,0,0,131.0,139.0,18
8000,srv-c,tA,9,0,0,107.0,129.0,22
8000,srv-c,tB,9,0,0,127.0,171.0,22
9000,srv-a,tA,9,4,0,122.0,152.0,17
9000,srv-a,tB,9,2,0,117.0,144.0,17
9000,srv-b,tA,11,0,0,124.0,138.0,20
9000,srv-b,tB,8,0,0,122.0,130.0,20
9000,srv-c,tA,20,0,0,129.0,172.0,22
9000,srv-c,tB,6,0,0,121.0,136.0,22
10000,srv-a,tA,7,4,0,124.0,139.0,18
10000,srv-a,tB,8,1,0,126.0,139.0,18
10000,srv-b,tA,14,0,0,157.0,204.0,18
10000,srv-b,tB,6,0,0,130.0,196.0,18
10000,srv-c,tA,11,2,0,119.0,132.0,22
10000,srv-c,tB,2,0,0,121.0,121.0,22
11000,srv-a,tA,4,0,0,138.0,138.0,19
11000,srv-a,tB,7,0,0,130.0,138.0,19
11000,srv-b,tA,10,0,0,129.0,230.0,18
11000,srv-b,tB,13,0,0,134.0,197.0,18
11000,srv-c,tA,12,1,0,132.0,166.0,23
11000,srv-c,tB,12,0,0,131.0,148.0,23
12000,srv-a,tA,9,0,0,112.0,132.0,21
12000,srv-a,tB,5,0,0,123.0,136.0,21
12000,srv-b,tA,6,1,0,131.0,178.0,19
12000,srv-b,tB,9,0,0,127.0,139.0,19
12000,srv-c,tA,8,1,0,133.0,166.0,24
12000,srv-c,tB,5,0,0,117.0,143.0,24
13000,srv-a,tA,11,0,0,135.0,220.0,20
13000,srv-a,tB,11,0,0,116.0,158.0,20
13000,srv-b,tA,6,0,0,115.0,117.0,20
13000,srv-b,tB,9,0,0,129.0,134.0,20
13000,srv-c,tA,8,0,0,131.0,156.0,23
13000,srv-c,tB,11,0,0,121.0,149.0,23
