time_ms,accepted,rej_limiter,rej_overload,inflight,limit,p50_ms,p99_ms
1000,12,0,0,2,40,102.0,114.0
2000,15,0,0,1,40,95.0,158.0
3000,12,0,0,1,40,110.0,118.0
4000,10,0,0,0,40,102.0,111.0
5000,9,0,0,0,40,108.0,116.0
6000,14,0,0,1,40,97.0,115.0
7000,8,0,0,1,40,100.0,114.0
8000,10,0,0,0,40,97.0,116.0
9000,10,0,0,2,40,103.0,113.0
10000,12,0,0,1,40,100.0,118.0
11000,12,0,0,1,40,111.0,140.0
12000,13,0,0,1,40,109.0,184.0
13000,13,0,0,2,40,102.0,118.0
14000,9,0,0,2,40,104.0,116.0
15000,15,0,0,1,40,100.0,179.0
16000,30,0,0,9,40,108.0,191.0
17000,25,0,0,3,40,117.0,234.0
18000,28,0,0,5,40,106.0,123.0
19000,26,0,0,4,40,114.0,171.0
20000,23,0,0,1,40,103.0,113.0
21000,26,0,0,3,40,97.0,139.0
22000,38,0,0,7,40,135.0,197.0
23000,34,0,0,3,40,124.0,214.0
24000,31,0,0,10,40,108.0,209.0
25000,40,0,0,5,40,195.0,299.0
26000,30,0,0,2,40,117.0,182.0
27000,27,0,0,4,40,96.0,131.0
28000,32,0,0,6,40,108.0,171.0
29000,23,0,0,1,40,131.0,249.0
30000,30,0,0,3,40,111.0,165.0
31000,39,0,0,15,40,185.0,298.0
32000,40,0,0,36,40,393.0,630.0
33000,40,0,0,41,40,798.0,943.0
34000,39,0,0,36,40,985.0,1167.0
35000,40,0,0,58,40,934.0,1050.0
36000,39,6,0,63,40,1118.0,1370.0
37000,40,10,0,63,40,1491.0,1624.0
38000,41,12,0,62,40,1597.0,1635.0
39000,39,14,0,63,40,1595.0,1643.0
40000,39,10,0,61,40,1583.0,1631.0
41000,41,3,0,65,40,1561.0,1667.0
42000,39,5,0,63,40,1557.0,1644.0
43000,41,18,0,65,40,1570.0,1633.0
44000,41,9,0,57,40,1570.0,1632.0
45000,41,9,0,61,40,1571.0,1616.0
46000,40,0,0,54,40,1463.0,1596.0
47000,41,0,0,35,40,1494.0,1563.0
48000,40,0,0,27,40,1138.0,1399.0
49000,40,0,0,15,40,823.0,932.0
50000,39,0,0,6,40,315.0,411.0
51000,33,0,0,4,40,129.0,248.0
52000,27,0,0,3,40,106.0,178.0
53000,29,0,0,1,40,119.0,217.0
54000,24,0,0,3,40,107.0,194.0
55000,31,0,0,2,40,108.0,212.0
56000,24,0,0,3,40,100.0,158.0
57000,33,0,0,3,40,112.0,180.0
58000,22,0,0,4,40,109.0,161.0
59000,34,0,0,11,40,122.0,169.0
60000,41,0,0,9,40,308.0,463.0
