scenario,limiter,rps[tA],rps[tB],jain,fleet_rps,p99_max_ms,p99_mean_ms,rej_lim,rej_ovl,rps[tA_noisy],rps[tB_quiet]
heterogeneous,centralized_pertenant,32.8,30.6,0.999,63.4,18625.0,5003.0,66,676,,
heterogeneous,gradient2_local,33.4,29.8,0.997,63.2,754.0,355.0,897,0,,
heterogeneous,none,33.8,30.4,0.997,64.2,18652.0,5013.0,0,698,,
heterogeneous,wcg,32.2,30.3,0.999,62.6,789.0,351.0,935,0,,
noisy_tenant,centralized_pertenant,,,1.0,39.2,234.0,137.0,4508,0,20.0,19.2
noisy_tenant,gradient2_local,,,0.692,93.9,345.0,225.0,1442,0,78.3,15.6
noisy_tenant,none,,,0.693,100.0,6216.0,4674.0,0,591,83.3,16.7
noisy_tenant,wcg,,,0.998,38.4,203.0,135.0,4552,0,20.1,18.4
partition,centralized_pertenant,30.2,28.3,0.999,58.5,262.0,161.0,78,0,,
partition,gradient2_local,31.6,28.3,0.997,59.9,299.0,165.0,0,0,,
partition,none,31.6,28.3,0.997,59.9,299.0,165.0,0,0,,
partition,wcg,29.0,27.2,0.999,56.1,284.0,159.0,211,0,,
shock,centralized_pertenant,27.2,25.8,0.999,53.0,16593.0,2254.0,78,110,,
shock,gradient2_local,28.5,25.5,0.997,54.0,1556.0,277.0,330,0,,
shock,none,28.4,25.7,0.997,54.1,17088.0,2337.0,0,129,,
shock,wcg,26.4,24.3,0.998,50.7,1814.0,258.0,517,0,,
